"lon","lat"
7.329083,43.678722
7.32825,43.677889
7.324083,43.677889
7.322861,43.679139
7.322861,43.684167
7.321167,43.685806
7.321167,43.689167
7.318639,43.691667
7.318667,43.694167
7.320333,43.695806
7.320306,43.696667
7.320694,43.697111
7.321528,43.697083
7.324472,43.699972
7.322861,43.701667
7.322833,43.702472
7.322417,43.702917
7.320778,43.702889
7.319972,43.70375
7.319083,43.703778
7.318611,43.704167
7.318667,43.7075
7.317472,43.708722
7.313278,43.708722
7.311139,43.706639
7.311194,43.704194
7.309889,43.702917
7.308222,43.702944
7.307389,43.702056
7.306611,43.702056
7.306139,43.701639
7.307028,43.700861
7.306944,43.698333
7.307833,43.6975
7.307806,43.693333
7.307028,43.6925
7.306972,43.691667
7.306139,43.690833
7.306167,43.689972
7.305778,43.689583
7.304917,43.689556
7.304083,43.68875
7.299111,43.688722
7.298222,43.689583
7.297444,43.688778
7.294056,43.688722
7.29325,43.689556
7.292444,43.689556
7.291972,43.69
7.291972,43.693306
7.289944,43.695417
7.289056,43.695444
7.28825,43.696222
7.284944,43.69625
7.284472,43.696639
7.2845,43.698361
7.284083,43.69875
7.283222,43.698722
7.280778,43.696222
7.276583,43.696278
7.275778,43.697083
7.274917,43.697056
7.274111,43.697917
7.26575,43.697889
7.264917,43.697083
7.259944,43.697056
7.259111,43.69625
7.254917,43.69625
7.254083,43.695444
7.250778,43.695444
7.249944,43.694556
7.248194,43.694556
7.247444,43.693722
7.245778,43.69375
7.244944,43.692889
7.244083,43.692944
7.242389,43.69125
7.240722,43.691222
7.239972,43.690417
7.239111,43.690389
7.23825,43.689583
7.236611,43.689556
7.231167,43.684167
7.231194,43.683306
7.2295,43.681667
7.229528,43.678306
7.231139,43.676667
7.231194,43.675
7.230361,43.674139
7.230306,43.673333
7.229917,43.672944
7.229056,43.672917
7.227361,43.67125
7.226583,43.671222
7.224889,43.669611
7.224111,43.669583
7.218694,43.664194
7.218639,43.663333
7.217028,43.661639
7.216972,43.660833
7.216583,43.660444
7.215806,43.660417
7.215333,43.660028
7.215361,43.659167
7.213306,43.657056
7.212444,43.657056
7.211583,43.65625
7.210722,43.656222
7.209889,43.655417
7.202417,43.655417
7.202,43.655861
7.202028,43.657472
7.201222,43.658306
7.201167,43.659167
7.200306,43.66
7.200361,43.663333
7.199472,43.664167
7.1995,43.665833
7.197861,43.667528
7.197833,43.668306
7.196944,43.669167
7.197,43.670028
7.196194,43.670861
